ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P	T0	A_1	A_2	Remarks
OGLE-LMC-ECL-14600	ELL	5.396397	-69.805194	-99.99	LMC162.6.20915	LMC503.01.84759	-99.99	18.087	19.022	0.935	13.19539630	7003.41250	0.125	0.117	
OGLE-LMC-ECL-14748	ELL	5.403544	-70.351111	-99.99	LMC163.6.62860	LMC502.18.56727	-99.99	18.110	18.913	0.803	1.66397380	7001.30550	0.144	0.083	
OGLE-LMC-ECL-14811	ELL	5.406319	-69.297194	-99.99	LMC161.7.87259	LMC503.18.21	-99.99	14.771	14.645	-0.126	1.31208860	7000.04990	0.055	0.042	
OGLE-LMC-ECL-14893	ELL	5.409678	-70.173972	-99.99	LMC163.5.91291	LMC502.26.115	-99.99	15.361	16.046	0.685	94.63201880	7089.20340	0.088	0.074	
OGLE-LMC-ECL-14911	ELL	5.410256	-70.554194	-99.99	LMC163.7.19168	LMC502.09.20629	-99.99	15.578	17.099	1.521	245.32716100	7240.21120	0.087	0.051	
OGLE-LMC-ECL-14934	ELL	5.411044	-69.637333	-99.99	LMC162.5.41504	LMC503.01.51979	-99.99	16.934	18.059	1.125	24.39757450	7019.04040	0.061	0.058	
OGLE-LMC-ECL-14972	ELL	5.412569	-68.967222	-99.99	LMC161.5.75808	LMC517.16.30381	-99.99	13.571	14.329	0.758	0.41899320	7000.29920	0.089	0.077	
OGLE-LMC-ECL-15000	ELL	5.413619	-71.131083	-99.99	LMC164.7.12321	LMC502.01.424	-99.99	18.519	19.133	0.614	12.29430740	7011.45090	0.127	0.115	
OGLE-LMC-ECL-15160	ELL	5.419253	-70.819389	-99.99	LMC164.5.14073	LMC502.09.218	-99.99	17.578	17.940	0.362	1.62526700	7000.61480	0.093	0.054	
OGLE-LMC-ECL-15245	ELL	5.422986	-69.497500	-99.99	LMC161.8.52928	LMC503.08.67492	-99.99	17.885	18.560	0.675	26.81250370	7017.44510	0.159	0.132	
OGLE-LMC-ECL-15256	ELL	5.423628	-68.363250	-99.99	LMC159.1.105	LMC504.08.17383	-99.99	15.710	17.442	1.732	107.31121110	7051.30560	0.092	0.013	
OGLE-LMC-ECL-15324	ELL	5.426033	-69.731167	-99.99	LMC162.6.147247	LMC516.25.99281	-99.99	18.513	19.426	0.913	9.65720270	7002.34630	0.207	0.155	
OGLE-LMC-ECL-15366	ELL	5.428039	-69.004833	-99.99	LMC161.4.40007	LMC503.17.75535	-99.99	17.997	18.018	0.021	8.88180990	7008.15790	0.118	0.069	
OGLE-LMC-ECL-15415	ELL	5.430483	-69.693667	-99.99	LMC162.3.83071	LMC516.25.34116	-99.99	17.727	17.645	-0.082	14.51512190	7011.90020	0.045	0.044	
OGLE-LMC-ECL-15457	ELL	5.432267	-69.743556	-99.99	LMC162.3.83326	LMC516.25.35221	-99.99	18.798	-99.99	-99.99	0.79694560	7000.46150	0.189	0.111	
OGLE-LMC-ECL-15498	ELL	5.433528	-69.676472	-99.99	LMC162.4.1547	LMC516.25.50759	-99.99	17.760	18.348	0.588	18.92569000	7011.42920	0.170	0.139	
OGLE-LMC-ECL-15633	ELL	5.438497	-67.901083	-99.99	LMC159.4.139	LMC518.07.18631	-99.99	15.923	17.450	1.527	173.70533770	7100.08040	0.069	0.064	
OGLE-LMC-ECL-15637	ELL	5.438583	-70.007611	-99.99	LMC162.1.61763	LMC516.16.27884	-99.99	17.964	18.759	0.795	0.97569150	7000.02590	0.100	0.079	
OGLE-LMC-ECL-15707	ELL	5.440739	-70.127194	-99.99	LMC162.1.3080	LMC516.16.12590	-99.99	18.150	19.245	1.095	108.11997990	7027.74080	0.205	0.198	
OGLE-LMC-ECL-15786	ELL	5.443603	-70.751889	-99.99	LMC164.4.28789	LMC502.08.5657	-99.99	17.044	17.016	-0.028	2.58335640	7000.40440	0.071	0.045	
OGLE-LMC-ECL-15871	ELL	5.446442	-71.625972	-99.99	LMC165.2.19832	LMC501.17.19627	-99.99	15.581	17.036	1.455	116.41015280	7069.29570	0.199	0.087	
